SITENAME,Unit ID,LEVEL,Assemblage code,PERIOD,INDUSTRY,LENGTH (mm),WIDTH (mm),THICK (mm),Platform Width (mm),PD (mm),EPA (degree),MASS (g),length*width/thickness^2
Khor Musa 1017,-,,N1017,B,Khormusan,25.29,22.325,3.1,20.12,5.375,90,2,58.751
Khor Musa 1017,-,,N1017,B,Khormusan,25.355,12.95,2.005,14.025,1.8,90,1,81.678
Khor Musa 1017,-,,N1017,B,Khormusan,25.45,21.76,3.33,10.5,2.57,81,2,49.941
Khor Musa 1017,-,,N1017,B,Khormusan,25.57,13.25,3.39,15.48,4.665,88,1,29.481
Khor Musa 1017,-,,N1017,B,Khormusan,25.655,21.045,5.28,11.68,2.94,110,3,19.367
Khor Musa 1017,-,,N1017,B,Khormusan,25.8,18.09,3.215,13.025,4.34,84,2,45.154
Khor Musa 1017,-,,N1017,B,Khormusan,25.915,19.7,3.435,18.505,3,106,2,43.268
Khor Musa 1017,-,,N1017,B,Khormusan,26.03,13.57,2.39,12.95,4.455,91,NA,61.838
Khor Musa 1017,-,,N1017,B,Khormusan,26.565,26.475,6.385,16.81,5.39,79,6,17.251
Khor Musa 1017,-,,N1017,B,Khormusan,26.58,19.205,3.695,12.715,3.98,104,2,37.389
Khor Musa 1017,-,,N1017,B,Khormusan,27.155,13.54,2.485,5.96,1.685,100,1,59.541
Khor Musa 1017,-,,N1017,B,Khormusan,27.54,26.14,1.81,20.415,2.17,95,2,219.742
Khor Musa 1017,-,,N1017,B,Khormusan,27.64,26.7,3.4,13.68,3.825,85,2,63.84
Khor Musa 1017,-,,N1017,B,Khormusan,28.865,19.015,2.4,12.615,3.905,86,2,95.29
Khor Musa 1017,-,,N1017,B,Khormusan,28.885,21.24,3.33,18.205,3.985,106,3,55.327
Khor Musa 1017,-,,N1017,B,Khormusan,29.01,27.29,4.77,12.51,5.29,89,4,34.795
Khor Musa 1017,-,,N1017,B,Khormusan,29.16,26.35,5.285,21.415,6.53,82,5,27.509
Khor Musa 1017,-,,N1017,B,Khormusan,29.515,22.96,6.355,14.19,7.145,67,6,16.78
Khor Musa 1017,-,,N1017,B,Khormusan,29.525,29.115,3.985,15.305,6.95,77,4,54.131
Khor Musa 1017,-,,N1017,B,Khormusan,29.66,28.57,4.215,23.75,6.68,92,4,47.696
Khor Musa 1017,-,,N1017,B,Khormusan,29.845,21.47,4.495,15.72,2.475,110,3,31.714
Khor Musa 1017,-,,N1017,B,Khormusan,29.865,16.275,3.855,17.555,3.215,93,2,32.707
