ID,Site & Layer,Assemblage code,Location (country),Approximate age (ka),PERIOD,Archaeological industry,Homo sapiens,N of unmodified and complete flakes for PD and EPA,Median PD (mm),Median EPA (degrees),N of unmodified and complete flakes for length*width/thickness^2,Median length*width/thickness^2,N of modified artifacts (complete blanks and fragments with platform),N of unmodified flakes (complete and fragments with platform),N of modified artifacts/N of unmodified flakes,Cortex ratio
1,FwJj20,Fw20,Kenya,1950,A,Oldowan,No,59,6.84,85,62,12.15,NA,NA,NA,NA
2,FxJj1,Fx1,Kenya,1870,A,Oldowan,No,39,6.23,80,40,12.24,NA,NA,NA,NA
3,FxJj3,Fx3,Kenya,1870,A,Oldowan,No,29,6.59,75,29,11.18,NA,NA,NA,NA
4,FxJj10,Fx10,Kenya,1780,A,Oldowan,No,142,8.01,75,145,9.08,NA,NA,NA,NA
5,FxJj38NW,Fx38,Kenya,1780,A,Oldowan,No,10,8.65,82,10,2.6,NA,NA,NA,NA
6,FxJj82,Fx82,Kenya,1780,A,Oldowan,No,78,7.18,73,93,8.78,NA,NA,NA,NA
7,FxJj16,Fx16,Kenya,1500,A,Karari,No,75,6.85,82,79,9.63,NA,NA,NA,NA
8,FxJj18G,Fx18,Kenya,1500,A,Oldowan (Developed),No,96,4.67,65,96,24.53,NA,NA,NA,NA
9,FxJj20M,Fx20M,Kenya,1500,A,Oldowan (Developed),No,60,5.69,85,66,16.29,NA,NA,NA,NA
10,FxJj63,Fx63,Kenya,1430,A,Acheulian,No,230,7.39,75,247,16.43,NA,NA,NA,NA
11,Elandsfontein,ELF,South Africa,800,B,Acheulian,No,75,11.68,74,84,10.71,NA,NA,NA,NA
12,Tabun D,T-D,Israel,255,B,Levantine Mousterian,No,120,5.88,83,120,48.2,NA,NA,NA,NA
13,Rosh Ein Mor (D15) A7,D15-A7,Israel,200,B,Levantine Mousterian,No,194,5.89,87,194,37.77,NA,NA,NA,NA
14,Rosh Ein Mor (D15) C8,D15-C8,Israel,200,B,Levantine Mousterian,No,185,6.3,85,185,29.48,NA,NA,NA,NA
15,Skhul B2,S-B2,Israel,115,B,Levantine Mousterian,Yes,179,6.12,85,179,51.95,NA,NA,NA,NA
16,Contrebandiers 5-6,CB5-6,Morocco,100,B,Middle Stone Age of NW Africa,Yes,255,6.57,76,383,12.72,NA,NA,NA,NA
17,Contrebandiers 4,CB4,Morocco,100,B,Middle Stone Age of NW Africa,Yes,86,4.71,79,146,15.79,NA,NA,NA,NA
18,Bisitun E-G,B-E-G,Iran,100,B,Zagros Mousterian,No,79,3.78,81,79,56.8,NA,NA,NA,NA
19,Warwasi A-CCC,W-A-CC,Iran,100,B,Zagros Mousterian,No,206,3.77,81,207,38.82,NA,NA,NA,NA
20,Pech de l'Aze IV 8,PDA8,France,95,B,Mousterian,No,408,5.74,80,410,26.54,360,3214,0.11,1.01
21,Pech de l'Aze IV 6B,PDA6B,France,80,B,Mousterian,No,350,5.42,78,352,24.02,230,2702,0.09,1.1
22,Pech de l'Aze IV 6A,PDA6A,France,80,B,Mousterian,No,1155,5.66,80,1153,27.4,529,7729,0.07,1.01
23,Pech de l'Aze IV 5B,PDA5B,France,80,B,Mousterian,No,319,6.27,80,318,26.2,359,2221,0.16,1
24,Khor Musa 1017,N1017,Sudan,75,B,Khormusan,Yes,116,5.49,89,116,44.21,NA,NA,NA,NA
25,Negev D40,D40,Israel,75,B,Levantine Mousterian,No,150,7.65,88,150,25.99,NA,NA,NA,NA
26,Roc de Marsal 9,RDM9,France,70,B,Mousterian,No,349,5.92,74,349,24.12,185,4320,0.04,1.02
27,Roc de Marsal 8,RDM8,France,70,B,Mousterian,No,179,6.67,73,178,22.58,138,1959,0.07,0.97
28,Roc de Marsal 7,RDM7,France,70,B,Mousterian,No,160,5.96,75,160,26.33,171,2166,0.08,0.92
29,Roc de Marsal 6,RDM6,France,70,B,Mousterian,No,34,5.69,79,34,24.01,56,402,0.14,0.94
30,Roc de Marsal 5,RDM5,France,70,B,Mousterian,No,188,5.7,78,188,25.67,208,1285,0.16,0.83
31,Pech de l'Aze IV 5A,PDA5A,France,70,B,Mousterian,No,204,5.14,79,204,29.98,136,1087,0.13,1.25
32,Roc de Marsal 4,RDM4,France,60,B,Quina Mousterian,No,275,7.1,67,275,21.13,387,1459,0.27,0.68
33,Roc de Marsal 3,RDM3,France,60,B,Quina Mousterian,No,23,9.3,65,23,14.13,34,135,0.25,0.81
34,Roc de Marsal 2,RDM2,France,60,B,Quina Mousterian,No,121,7.73,69,121,15.69,143,456,0.31,0.71
35,Pech de l'Aze IV 4C,PDA4C,France,60,B,Mousterian,No,1016,5.32,82,1017,31.25,767,5048,0.15,1.06
36,Pech de l'Aze IV 4A,PDA4A,France,60,B,Quina Mousterian,No,81,5.98,75,81,28.54,139,592,0.23,0.89
37,Ksar Akil 28,KA28,Lebanon,55,B,Levantine Mousterian,No,199,6.63,80,199,31.91,NA,NA,NA,NA
38,Combe-Capelle II-4E,CCII4E,France,55,B,Quina Mousterian,No,34,7.23,82,34,17.06,23,155,0.15,0.74
39,Combe-Capelle II-4C,CCII4C,France,55,B,Quina Mousterian,No,55,9.2,73,55,14.04,59,310,0.19,0.73
40,Combe-Capelle II-4B,CCII4B,France,55,B,Quina Mousterian,No,39,9.1,69,39,15.43,46,177,0.26,0.69
41,Combe-Capelle II-4A,CCII4A,France,55,B,Quina Mousterian,No,47,8.3,71,47,13.33,36,259,0.14,0.64
42,Combe-Capelle I-2B,CCI2B,France,55,B,Quina Mousterian,No,53,12.1,70,56,13.6,55,153,0.36,0.64
43,Combe-Capelle I-2A,CCI2A,France,55,B,Quina Mousterian,No,97,8.8,80,97,15.45,98,371,0.26,0.94
44,Combe-Capelle I-1E,CCI1E,France,55,B,Quina Mousterian,No,178,8.95,78,178,16.44,117,493,0.24,1.03
45,Combe-Capelle I-1D1,CCI1D1,France,55,B,Quina Mousterian,No,38,8.25,80,37,9.24,37,145,0.26,0.68
46,Combe-Capelle I-1D,CCI1D,France,55,B,Quina Mousterian,No,156,8,78,154,15.32,102,608,0.17,0.56
47,Abri Peyrony L3A,AP-L3A,France,50,B,Mousterian,No,66,5.1,73,478,24.57,NA,NA,NA,NA
48,Abri Peyrony L3B,AP-L3B,France,50,B,Mousterian,No,180,5.92,75,796,17.96,NA,NA,NA,NA
49,Abri Peyrony U2,AP-U2,France,50,B,Mousterian,No,39,7.21,76,273,17.46,NA,NA,NA,NA
50,Abri Peyrony U3A,AP-U3A,France,50,B,Mousterian,No,77,6.55,73,557,13.35,NA,NA,NA,NA
51,Pech de l'Aze IV 3B,PDA3B,France,50,B,Mousterian of Acheulian Tradition,No,1479,5.85,82,1476,21.92,656,6024,0.11,1.19
52,Pech de l'Aze IV 3A,PDA3A,France,45,B,Mousterian of Acheulian Tradition,No,723,5.99,78,725,16.17,355,3995,0.09,1.28
53,La Cote 3,COT3,France,45,C,Chatelperronian,No,97,4.73,85,97,29.85,NA,NA,NA,NA
54,Roc de Combe 8 (I-K),RC8,France,45,C,Chatelperronian,No,174,4.01,88,174,24.13,NA,NA,NA,NA
55,Abri Pataud 14,AP14,France,40,C,Early Aurignacian,Yes,147,5.52,78,147,18.62,NA,NA,NA,NA
56,Abri Pataud 13,AP13,France,40,C,Early Aurignacian,Yes,165,6.61,74,165,16.05,NA,NA,NA,NA
57,Abri Pataud 12,AP12,France,40,C,Early Aurignacian,Yes,160,5.33,78,160,20.45,NA,NA,NA,NA
58,Abri Pataud 11,AP11,France,40,C,Early Aurignacian,Yes,269,6.58,78,269,16.76,NA,NA,NA,NA
59,Abri Pataud 9-10,AP9-10,France,40,C,Early Aurignacian,Yes,112,6.18,78,111,16.81,NA,NA,NA,NA
